Team 1,Team 2,Winner,Margin,Ground,Match Date,odi_id,match_link,match_id,T1_P1_Bat_Avg_SR,T2_Rel_bat_strength,T1_P6_Bat_Avg_SR,T1_P5_Bat_Avg_SR,T1_P2_Bat_Avg_SR,T1_P4_Bat_Avg_SR,T1_Rel_bat_strength,T2_P2_Bat_Avg_SR,T1_Batsman3_impact_factor,T2_P5_Bat_Avg_SR,T2_P4_Bat_Avg_SR,T1_Batsman4_impact_factor,T2_P6_Bat_Avg_SR,T1_Batsman2_form_index,T1_P2_Bowl_avg_T1_P2_Bowl_SR,T1_P3_Bat_Avg_SR,T2_P3_Bat_Avg_SR,T2_P1_Bowl_avg_T2_P1_Bowl_SR,T1_P1_Bowl_avg_T1_P1_Bowl_SR,T2_Bowler1_impact_factor,T2_P1_Bat_Avg_SR,T1_Batsman1_impact_factor,T1_P4_Bowl_avg_T1_P4_Bowl_SR,T1_Bowler1_impact_factor,T2_Batsman4_impact_factor,T2_P1_Bowl_eco,T1_Batsman5_impact_factor,T2_Batsman3_form_index,T2_P2_Bowl_avg_T2_P2_Bowl_SR,T2_P3_Bowl_eco,T1_P4_Bowl_eco,T2_Batsman5_impact_factor,T2_Bowler5_form_index,T1_P2_Bowl_eco,T2_P4_Bowl_eco,T2_P5_Bowl_avg_T2_P5_Bowl_SR,T2_Batsman2_impact_factor,T2_Batsman3_impact_factor,T1_Bowler3_impact_factor,T2_P2_Bowl_eco,T1_Batsman3_form_index,T1_P3_Bowl_eco,T1_Batsman2_impact_factor,T1_Batsman1_form_index,T1_Bowler1_form_index,T1_Rel_bowl_strength,T1_P7_Bat_Avg_SR,T2_Bowler4_impact_factor,T2_Bowler3_impact_factor,T2_Rel_bowl_strength,T2_Bowler2_impact_factor,T1_Bowler3_form_index,T1_P3_Bowl_avg_T1_P3_Bowl_SR,T2_Bowler1_form_index,T2_Batsman1_impact_factor,T1_Batsman5_form_index,T1_Bowler2_form_index,T2_P7_Bat_Avg_SR,T2_P8_11_Bat_Avg_SR,T1_Bowler2_impact_factor,T1_P8_11_Bat_Avg_SR,T2_Batsman4_form_index,T2_Batsman2_form_index,T2_P4_Bowl_avg_T2_P4_Bowl_SR,T1_P1_Bowl_eco,T1_Bowler4_impact_factor,T2_Bowler3_form_index,T2_P5_Bowl_eco,T1_Batsman4_form_index,T2_Batsman1_form_index,T2_Bowler4_form_index,T1_Bowler4_form_index,T1_Bowler5_form_index,T2_Batsman5_form_index,T2_P3_Bowl_avg_T2_P3_Bowl_SR,T1_P5_Bowl_eco,T2_Bowler2_form_index,T1_P5_Bowl_avg_T1_P5_Bowl_SR,dep_var
New Zealand,England,England,43 runs,Napier,20-Feb-02,1811,/wi/engine/match/64750.html,64750,22.85188327,530.4026891,23.89674544,18.81449115,25.49519502,21.45606537,549.6697937,30.46759874,11.52895138,21.09473466,26.41561497,12.71012865,10.63989637,0.986202862,1110,32.4,20.30208043,879.2626125,851.0781891,979.0346353,29.60371914,11.90792625,1004.991735,1241.498131,10.25824442,4.273366128,11.47031467,1.987700141,607.8892733,4.794392523,4.47029703,11.91212766,3.040404638,7.4,4.423208191,1668.96,10.69031274,9.756467066,692.6114523,4.575,1.064251165,4.705728314,11.50407902,0.979339478,0.7181632,557.0478922,13.19191574,733.1218509,630.854769,455.7283958,1859.765625,0.761265639,1373.57478,0.644164241,11.18136217,1.154179026,0.853226687,19.3951419,5.380544148,2500,7.130253742,1.037983245,1.573943839,911.3472,4.657718121,1133.222233,0.67949633,4.815789474,2.811127714,1.01524014,0.72332853,1.066018165,1.070935277,0.823666479,1209.719008,4.4473342,0.584727408,1948.133333,0
New Zealand,England,England,33 runs,Auckland,23-Feb-02,1812,/wi/engine/match/64751.html,64751,22.86165528,558.1409427,23.70195649,18.64849108,8.888888889,21.80663206,578.4156512,30.55993117,11.504645,10.75285972,26.75876809,11.55125864,19.31172115,0.994191626,1345.944327,25.30620664,20.12471671,870.1191628,959.2345679,979.0807721,29.89339462,11.96049126,2012.550222,1090.245639,11.41723438,4.257356782,11.47831929,1.889207494,613.2963989,4.797327394,4.454289373,10.26306482,3.040404638,4.709562399,4.429054054,1495.723183,10.68399706,9.76686651,1044.221125,4.555555556,0.985675732,4.585152838,12.87178937,1.001468391,0.76887413,529.3639606,13.33347298,718.3365798,573.2238431,433.0797979,1893.861454,0.693486648,1113.194445,0.644856898,11.15784518,1.131812443,0.828355902,21.9201304,5.380544148,715.1506873,14.569747,0.885202208,1.830236452,931.3344,4.610062893,464.9241509,0.755609594,4.685483871,1.322288312,1.100914736,0.72865075,1.076955057,1.070935277,1.091725784,1332.157025,4.283745351,0.562702509,1762.459653,0
England,New Zealand,New Zealand,5 wickets,Dunedin,26-Feb-02,1813,/wi/engine/match/64752.html,64752,29.80228378,534.5188639,18.59545415,10.63989637,29.62701822,27.59218686,515.7828319,7.87037037,9.782146959,18.51249758,21.69853338,10.28832607,23.9753803,1.600749135,582.6666667,19.89746552,25.1837743,977.7168368,862.4176222,1084.657033,21.9261745,11.15784518,950.2191464,982.1750138,11.51003232,4.580838323,11.91212766,0.939516211,1331.357221,4.577075099,4.457236842,11.55316298,1.070935277,4.459183673,4.447255249,1754.194303,11.97438359,12.85863481,718.6962426,4.710839498,2.035939312,4.691489362,10.69166589,1.027675127,0.584880734,468.6460109,20.13959437,453.7018544,855.5046947,572.837407,724.7854593,0.724832649,1022.04142,0.767792927,12.34717901,0.858989715,0.547279097,12.85288892,15.88918004,2031.127077,5.398900373,0.979247476,0.976348453,2059.073778,4.260674157,695.4092846,0.625648635,4.287584552,1.419940987,1.502717892,1.076583267,1.097215389,3.040404638,1.234103002,1356.361111,4.753968254,0.9208476,1566.934256,0
India,Zimbabwe,Zimbabwe,1 wicket,Faridabad,7-Mar-02,1814,/wi/engine/match/64753.html,64753,32.58556144,531.5318714,0.2,21.78,25.81250737,20.8172043,480.2137927,14.68294239,11.24453752,14.69715192,24.45964856,10.34876501,10.60647766,1.441436793,1003.905881,15.26533904,17.15955807,1217.51738,1018.878118,769.6552108,22.61868121,10.18524994,1680,869.4433158,10.43693135,4.515802781,11.68943211,0.82287402,2237.142857,4.850909091,5.714285714,9.590996168,1.377186676,5.169654569,4.608247423,1839.102881,9.63352695,10.47257808,1578.997625,5.431034483,1.345056398,4.196525971,10.8251187,1.149908583,0.586469371,591.3419626,15.6025,580.7106228,740.4995409,492.8191781,607.1692512,0.658997275,1197.533215,0.645544614,10.13145361,1.794963368,0.625498789,17.84070796,2.783247167,1016.067891,11.97198443,1.274516711,1.033094404,1806.625,4.799199466,1275.510204,0.633447162,4.637813212,1.874501591,0.716805967,0.651320003,0.850538721,1.384525801,1.104706678,1247.789116,4.040871935,1.041422484,1119.878601,0
Zimbabwe,India,India,64 runs,Mohali,10-Mar-02,1815,/wi/engine/match/64754.html,64754,22.47333961,495.3247877,13.75217048,14.43524226,14.34743803,24.69407917,548.2577038,25.73819942,10.4479053,38.01724138,21.09116162,9.614186246,0.071428571,0.793301855,2459.510204,17.17253233,16.64538677,918.0122873,1212.370681,1020.390614,32.66592377,10.15515121,1877.384083,775.3498042,10.34432711,4.795381655,10.42555029,1.396578305,1026.024282,4.211273486,4.657894737,10.81786489,0.789673794,5.487603306,5.125,1104.311862,10.67807369,11.08003643,689.4463254,5.174383384,1.480717391,4.919298246,9.634218875,0.843548491,0.637631328,477.7846224,17.5744916,912.5434028,1537.666095,573.3017481,995.0735116,0.69304655,1359.081632,0.574635308,10.17875282,1.343260953,1.035610614,13.25688073,12.33179957,558.0267362,2.744396018,1.971809861,1.666242961,874.6666666,4.522356874,578.06884,0.647742282,4.061007958,1.090526807,1.288976825,1.726903998,0.633601137,1.377186676,3.902294268,1205.084649,4.614809274,0.697692631,1840.26398,0
India,Zimbabwe,Zimbabwe,6 wickets,Kochi,13-Mar-02,1816,/wi/engine/match/64755.html,64755,32.95839112,618.2229625,0.041666667,29.26829268,26.19207222,22.63717532,596.8283709,13.77716814,10.32759334,13.16303806,14.38805471,10.80058413,17.53143847,1.912867152,1017.522707,17.32653928,17.21577735,1238.770232,974.5217392,762.5501924,22.36257919,10.1652607,1043.873312,967.5558023,10.43920916,4.544550352,10.59136669,1.681156489,0,5.496031746,4.075226978,10.04498831,0.556572851,5.177730193,5.145711907,1935.802469,9.637544563,10.46103149,1578.627839,7.333333333,2.608634632,5.7,10.57045722,1.353322757,0.621716241,423.2814306,13.25688073,581.1543367,126.3518259,363.6620016,560.6121049,0.633554754,1520,0.656525248,10.17377741,2.692722653,0.700774526,8.105960265,1.820015699,1005.718308,10.73939714,1.468854215,0.681775704,12370.3,4.826983136,584.0277778,1.044829652,4.6875,1.484219691,1.021508869,1.476234498,0.696703563,1.384525801,1.200469453,2490.035672,6.8,2.540346584,0,0
Zimbabwe,India,India,5 wickets,Hyderabad (Deccan),16-Mar-02,1817,/wi/engine/match/64756.html,64756,22.38557272,491.9330995,17.53143847,13.16303806,13.2146876,24.68861748,525.1674832,26.02565273,10.46099188,18.88259479,20.60678211,9.624144959,32,0.748513351,2527.919144,17.3767678,17.27782258,995.6971479,1239.239815,960.8126979,32.79163525,10.17778627,675.9375,761.5994156,10.738009,4.818126888,10.04498831,2.605015589,1007.89435,4.04551201,5.885714286,10.91307362,1.384525801,5.492125984,4.979030595,2019.625,10.44829608,10.32212738,137.7505234,5.14756871,1.759494453,5.048374306,9.644875927,0.937781024,0.616598493,457.1711077,8.458730159,1175.472229,1549.167139,538.7643163,1016.43685,1.343895759,11057.19834,0.623046684,10.15842552,1.200469453,1.12356954,10.66666667,7.99079251,551.8183259,1.820015699,1.362548811,1.736485944,1317.756802,4.536846439,1919.274376,0.694891072,4.23364486,1.059843033,1.27913011,1.632060236,1.069359535,0.541206379,0.688201707,1090.721057,4.669456067,0.691599517,1778.16,0
Zimbabwe,India,India,101 runs,Guwahati,19-Mar-02,1818,/wi/engine/match/64757.html,64757,22.44949384,490.5746159,17.4083416,12.58505929,13.4231575,24.96199572,523.7172221,21.08751168,10.57544805,23.11360177,16.98887875,10.48384711,34.7148688,0.780809725,2352.134235,17.6150891,25.96529051,990.7142858,1255.552778,965.8866629,32.60814855,10.17875228,1332.11157,751.6642667,10.2943622,4.852478134,9.656381272,1.591845821,971.5879786,4.054254007,4.972789116,8.065112809,1.384525801,5.481246027,4.961187985,425.3333333,10.32801663,10.37503347,1537.87005,5.123173278,0.898576659,5.921568627,9.661996246,0.950972814,0.677213858,499.8671464,5.279938686,1269.65253,1511.812928,540.2562453,1049.814113,0.885510185,924.12,0.576791396,10.15426918,1.313566451,1.053269343,23.95854922,13.31837402,608.4235362,2.704529286,2.594440252,1.423226141,1325.666545,4.536605317,694.8782915,0.712173794,4.74137931,1.816270533,1.299437036,1.632060236,0.693843552,1.377186676,2.381574236,1111.07,4.727091633,0.689401064,1985.41,0
South Africa,Australia,Australia,19 runs,Johannesburg,22-Mar-02,1819,/wi/engine/match/64758.html,64758,29.45538668,610.9535218,27.1729872,37.66501509,28.11352201,30.58315817,611.4145028,22.39670669,10.43077168,42.89683649,28.50073191,10.50141944,31.62053011,1.796526265,943.9181884,25.1906467,31.23457928,811.6931631,833.8835303,967.0296049,30.47796652,10.1680278,942.0843717,912.9690018,11.47660064,3.955611602,11.34521183,1.854966931,1226.253463,4.655260907,4.162826421,11.79235888,1.967722337,4.422960725,4.545652174,1733.333334,10.98940393,11.05405506,805.2877593,4.326738992,1.106809342,4.621825935,9.413631916,1.484808404,0.783991236,694.1717357,18.98857645,574.4358459,649.8356092,608.7018408,869.2525196,0.969535981,1176.645202,0.942295909,11.30993459,1.928898886,0.737980387,16.66621924,3.407273209,1124.579002,8.899715209,2.723524788,1.255366129,1454.058957,3.762584523,878.9266661,0.709835832,4.16,2.157669708,1.290336316,0.663168709,0.833031546,0.941492691,1.274284258,1260.740785,4.709989259,0.743296253,1019.546722,0
South Africa,Australia,Australia,45 runs,Centurion,24-Mar-02,1820,/wi/engine/match/64759.html,64759,29.25335367,587.8413478,18.6406149,27.04387049,28.6065699,30.32840032,675.8222257,4.240384615,10.43122474,28.4349718,31.04113306,10.50361954,31.03376062,2.081786712,916.9533203,24.85343492,22.12569815,813.2489279,848.3689248,959.7877446,30.48226198,10.1680278,885.1808035,899.4035291,11.05855698,3.952357071,11.36603863,1.311265377,1131.447353,4.793131643,4.110283159,11.80888367,1.967722337,4.484626647,4.16,465,11.89458429,11.04155014,807.4352555,4.311001844,0.927281752,4.623874305,9.546541376,1.240241371,0.80078404,628.0152539,19.77596955,711.1111111,593.7171774,482.9829812,967.221469,0.972252536,1169.014145,0.980105258,11.32194091,1.828136782,0.741621114,7.863395225,1.443572334,1178.81129,11.6333856,1.735427101,2.969848481,1733.333334,3.771066368,936.4268864,0.698827791,3.1,1.639671142,1.235195418,1.629143195,0.829684813,0.941492691,1.493313476,1420.774078,4.698615548,0.73989633,1034.639251,0
